,function,docstring,file_name,id,label
2,"private void giveBirth(List<Animal> newRabbits)
    {
        // New rabbits are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        List<Location> free = field.getFreeAdjacentLocations(getLocation());
        int births = breed();
        for(int b = 0; b < births && free.size() > 0; b++) {
            Location loc = free.remove(0);
            Rabbit young = new Rabbit(false, field, loc);
            newRabbits.add(young);
        }
    }","Check whether or not this rabbit is to give birth at this step.
New births will be made into free adjacent locations.
@param newRabbits A list to return newly born rabbits.",Rabbit.java,28.0,2
3,"private int breed()
    {
        int births = 0;
        if(canBreed() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Rabbit.java,28.0,2
4,"private boolean canBreed()
    {
        return age >= BREEDING_AGE;
    }","A rabbit can breed if it has reached the breeding age.
@return true if the rabbit can breed, false otherwise.",Rabbit.java,28.0,2
0,"protected List<Location> getSuitableLocations(Location location)
    {
        List<Location> free = field.getFreeAdjacentLocations(location);
        
        List<Location> suitable = new LinkedList<>();
        for(Location next : free) {
            if (field.getLand(next.getRow(), next.getCol()))
                suitable.add(next);
        }
        return suitable;
    }","Get a shuffled list of the suitable free adjacent locations.
@param location Location of animal.
@return A list of free adjacent locations.",LandAnimal.java,28.0,2
0,"public void move(){
        Random rand = new Random();
        
        int choice = rand.nextInt(4);
        
        eject(TYPE);
        if (choice == 0){ // Moves up.
            setPosition(row-1, col);
            center.move(-1,0);
        }else if (choice == 1){ // Moves right.
            setPosition(row, col+1);
            center.move(0,1);
        }else if (choice == 2){ // Moves down.
            setPosition(row+1, col);
            center.move(1,0);
        }else if (choice == 3){ // Moves left.
            setPosition(row, col-1);
            center.move(0,-1);
        }
        decreaseLife();
        inject(TYPE);
    }",Moves the cloud and also adds or deletes information to the field.,Snow.java,28.0,2
1,"public boolean exists()
    {
        if (lifespan <=0) 
        eject(TYPE);
        return lifespan > 0? true:false;
    }",Returns whether cloud still exists or not.,Snow.java,28.0,2
0,"public static Random getRandom()
    {
        if(useShared) {
            return rand;
        }
        else {
            return new Random();
        }
    }","Provide a random generator.
@return A random object.",Randomizer.java,28.0,2
1,"public static void reset()
    {
        if(useShared) {
            rand.setSeed(SEED);
        }
    }","Reset the randomization.
This will have no effect if randomization is not through
a shared Random generator.",Randomizer.java,28.0,2
0,"public void act(List<Animal> neweagles)
    {
        incrementAge();
        incrementHunger();
        // Snow affects animals' movements.
        if(isAlive() && rand.nextDouble() >= 0.25*field.getWeather(location.getRow(), location.getCol(), 2)) {
            //if the eagle is healthy, randomly try to make it sick
            if (isHealthy())
            {
             Random rand = new Random();
             boolean randomSick = (rand.nextDouble() <= ANIMAL_GET_SICK_PROBABILITY ) ? true : false;
            if(randomSick)
            {//make the salmon sick
             makeSick();
             //make its age to 90% old
             age = MAX_AGE - MAX_AGE/10;
            }
            }
            //if it is unhealthy, try to spread the disease
            if (!isHealthy())
            {
                spreadDisease();
            }
            //give birth to new eagles
            giveBirth(neweagles);            
            // Move towards a source of food if found.
            Location newLocation = null;
            //the stronger the fog, the less chance for the animal to find food
            if (rand.nextDouble() >= 0.25*field.getWeather(location.getRow(), location.getCol(), 0))
                newLocation = findFood();
            if(newLocation == null) { 
                // No food found - try to move to a free location.
                newLocation = field.freeAdjacentLocation(getSuitableLocations(getLocation()));
            }
            // See if it was possible to move.
            if(newLocation != null) {
                setLocation(newLocation);
            }
            else {
                // Overcrowding.
                setDead();
            }
        }
    }","This is what the eagle does most of the time: it hunts for
squirrels. In the process, it might breed, die of hunger,
or die of old age.
@param field The field currently occupied.
@param neweaglees A list to return newly born eaglees.",Eagle.java,28.0,2
1,"public void spreadDisease()
    {
     Field field = getField();
    // if(getLocation()==null) return;
    //get adjacent locations
     List<Location> adjacent = field.adjacentLocations(getLocation());
     Iterator<Location> iterator = adjacent.iterator();
      //parse all the adjacent locations to try to spread the disease
     while (iterator.hasNext()) {
         Location nearby = iterator.next();
         Object animal = field.getObjectAt(nearby);
         //check if the animal fount in the current adjacent loc is an eagle
         if (animal instanceof Eagle) {
             Eagle eagle = (Eagle) animal;
             if (eagle.isHealthy()) {
                 //if the found eagle is healthy, try to spr
                Random rand = new Random ();
                boolean randomSpread = (rand.nextDouble() <= DISEASE_SPREAD_PROBABILITY ) ? true : false;
                if (randomSpread){
                    eagle.makeSick();
                    eagle.age = MAX_AGE - MAX_AGE/10;
                }    
            }    
        }     
    }        
    }",Spread the disease betweeen two eagles,Eagle.java,28.0,2
2,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }",Increase the age. This could result in the eagle's death.,Eagle.java,28.0,2
3,"private void incrementHunger()
    {
        foodLevel--;
        if(foodLevel <= 0) {
            setDead();
        }
    }",Make this eagle more hungry. This could result in the eagle's death.,Eagle.java,28.0,2
4,"protected Location findFood()
    {
        Field field = getField();
        List<Location> adjacent = field.adjacentLocations(getLocation());
        Iterator<Location> it = adjacent.iterator();
        while(it.hasNext()) {
            Location where = it.next();
            Object animal = field.getObjectAt(where);
            if(animal instanceof Squirrel) {
                Squirrel squirrel = (Squirrel) animal;
                if(squirrel.isAlive() && foodLevel < FOOD_LIMIT && rand.nextDouble() > 0.875) { 
                    squirrel.setDead();
                    foodLevel += SQUIRREL_FOOD_VALUE;
                    return where;
                }
            }
            if(animal instanceof Kingfisher) {
                Kingfisher kingfisher = (Kingfisher) animal;
                if(kingfisher.isAlive() && foodLevel < FOOD_LIMIT && rand.nextDouble() > 0.875) { 
                    kingfisher.setDead();
                    foodLevel += KINGFISHER_FOOD_VALUE;
                    return where;
                }
            }
            if(animal instanceof Salmon) {
                Salmon salmon = (Salmon) animal;
                if(salmon.isAlive() && foodLevel < FOOD_LIMIT && rand.nextDouble() > 0.875) { 
                    salmon.setDead();
                    foodLevel += SALMON_FOOD_VALUE;
                    return where;
                }
            }
        }
        return null;
    }","Look for squirrels, kingfishers, or salmon adjacent to the current location.
Only the first live prey is eaten.
@return Where food was found, or null if it wasn't.",Eagle.java,28.0,2
5,"private void giveBirth(List<Animal> neweagles)
    {
        // New eaglees are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        
        List<Location> locations = field.adjacentLocations(location);
        for (Location loc : locations){
            Object obj = field.getObjectAt(loc.getRow(), loc.getCol());
            if (obj != null && obj.getClass() == this.getClass())
            {
                if (((Eagle)obj).getGender() != isMale)
                {
                    List<Location> free = field.getFreeAdjacentLocations(getLocation());
                    boolean randomGender = (rand.nextDouble()>0.5) ? true : false;
                    int births = breed(obj);
                    for(int b = 0; b < births && free.size() > 0; b++) {
                        Location l = free.remove(0);
                        Eagle young = new Eagle(field, l, randomGender, false);
                        neweagles.add(young);
                    }
                    break;
                }
            }
        }
    }","Check whether or not this eagle is to give birth at this step.
New births will be made into free adjacent locations.
@param neweaglees A list to return newly born eaglees.",Eagle.java,28.0,2
6,"private int breed(Object obj)
    {
        int births = 0;
        if(((Eagle)obj).canBreed() && canBreed() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Eagle.java,28.0,2
7,"private boolean canBreed()
    {
        return age >= BREEDING_AGE;
    }",A eagle can breed if it has reached the breeding age.,Eagle.java,28.0,2
0,"protected void eject(int index)
    {
        for (WeatherBlock block : blocks)
        {
            for(int i = block.getRow(); i < block.getRow()+3; i++)
                for (int j = block.getCol(); j < block.getCol()+3; j++)
                if (i>=0 && i<field.getDepth() && j>=0 && j<field.getWidth())
                    field.setWeather(i, j, 0, index);
        }
    }",Removes every weather tile of a certain type from ther field.,Weather.java,28.0,2
1,"protected void inject(int index)
    {
        for (WeatherBlock block : blocks)
        {
            for(int i = block.getRow(); i < block.getRow()+3; i++)
                for (int j = block.getCol(); j < block.getCol()+3; j++)
                if (i>=0 && i<field.getDepth() && j>=0 && j<field.getWidth())
                    field.setWeather(i, j, Math.max(block.getType(), field.getWeather(i, j, index)), index);
        }
    }",Inserts a weather tile on every surface covered by this cloud.,Weather.java,28.0,2
2,"protected void fillQuadrant(int x, int y)
    {
        // Creating 3x3 WeatherBlocks that make up the cloud...
        int i, j;
        WeatherBlock current, main = center;
        
        for (j = 1; j <= radius; j++){
            if (y == 1)
            {
                if (main.getRight() != null)
                    main = main.getRight();
                    else{
                        current = new WeatherBlock(main.getRow(), main.getCol() + 3);
                        main.setRight(current);
                        blocks.add(current);
                        main = current;
                        main.setType(3-((main.getCol() - center.getCol())/radius));
                    }
            }else{
                if (main.getLeft() != null)
                    main = main.getLeft();
                    else{
                        current = new WeatherBlock(main.getRow(), main.getCol() - 3);
                        main.setLeft(current);
                        blocks.add(current);
                        main = current;
                        main.setType(3-((center.getCol() - main.getCol())/radius));
                    }
            }
            current = main;
            for (i = 1; i<= radius; i++){
                WeatherBlock aux = new WeatherBlock(row + 3*x*i, col + 3*y*j);
                double distance = calculateDistance(aux.getRow()+1, aux.getCol()+1);
                if (distance <= 3*radius){
                    if (x == 1) current.setTop(aux);
                    else current.setBottom(aux);
                    current = aux;
                    
                    if (distance < radius){
                        current.setType(3);
                    }else if (distance <= 2*radius){
                        current.setType(2);
                    }else{
                        current.setType(1);
                    }
                }else break;
                blocks.add(current);
            }
        }
    }",Fills in quadrant with blocks.,Weather.java,28.0,2
3,"public List<WeatherBlock> getBlocks()
    {
        return blocks;
    }",Returns list of blocks that make up cloud.,Weather.java,28.0,2
8,"public WeatherBlock getCenter()
    {
        return center;
    }",Return center of cloud.,Weather.java,28.0,2
10,"public double calculateDistance(int x, int y)
    {
        // Setting up the true center of the cloud
        int rx = row + 1;
        int ry = col + 1;
        
        return Math.sqrt(Math.pow(rx - x, 2) + Math.pow(ry - y, 2));
    }",Returns the distance between the center of the cloud to some point.,Weather.java,28.0,2
0,"public static void setTime(int step) {
        currentTime = step % 400;
    }","Based on the current step value, the currentTime is calculated.",Time.java,28.0,2
1,"public static int getTime()
    {
        return currentTime;
    }",Returns the currentTime.,Time.java,28.0,2
2,"public static int sunlight() {
        if(currentTime < 100) {
            return 0;
        } else if (currentTime < 200) {
            return (currentTime - 100);
        } else if (currentTime < 300) {
            return 100;
        } else {
            return (400 - currentTime);
        }
    }","In between day and night, it calculates a value for each step, rising or falling by 1, appropriately, until the next night or day comes along.",Time.java,28.0,2
0,"public void act(List<Animal> newsheeps)
    {
        incrementAge();
        incrementHunger();
        // Snow affects animals' movements.
        if(isAlive() && rand.nextDouble() >= 0.25*field.getWeather(location.getRow(), location.getCol(), 2)) {
            if (isHealthy())
            {
             Random rand = new Random();
             boolean randomSick = (rand.nextDouble() <= ANIMAL_GET_SICK_PROBABILITY ) ? true : false;
            if(randomSick)
            {
             makeSick();
             age = MAX_AGE - MAX_AGE/7;
            }
            }
            if (!isHealthy())
            {
                spreadDisease();
            }
            giveBirth(newsheeps);            
            // Move towards a source of food if found.
            Location newLocation = null;
            if (rand.nextDouble() >= 0.25*field.getWeather(location.getRow(), location.getCol(), 1))
                newLocation = findFood();
            if(newLocation == null) { 
                // No food found - try to move to a free location.
                newLocation = field.freeAdjacentLocation(getSuitableLocations(getLocation()));
            }
            // See if it was possible to move.
            if(newLocation != null) {
                setLocation(newLocation);
            }
            else {
                // Overcrowding.
                setDead();
            }
        }
    }","This is what the sheep does most of the time - it runs
around. Sometimes it will breed or die of old age.
@param newsheeps A list to return newly born sheeps.",Sheep.java,28.0,2
1,"public void spreadDisease()
    {
     Field field = getField();
    //get adjacent locations
     List<Location> adjacent = field.adjacentLocations(getLocation());
     Iterator<Location> iterator = adjacent.iterator();
     //parse the adjacent locations
     while (iterator.hasNext()) {
         Location nearby = iterator.next();
         Object animal = field.getObjectAt(nearby);
         //test if the nearby aniumal is a sheep
         if (animal instanceof Sheep) {
             Sheep sheep = (Sheep) animal;
             //if the nearby sheep is healthy, try to make it sick
             if (sheep.isHealthy()) {
                Random rand = new Random ();
                boolean randomSpread = (rand.nextDouble() <= DISEASE_SPREAD_PROBABILITY ) ? true : false;
                if (randomSpread){
                    sheep.makeSick();
                    sheep.age = MAX_AGE - MAX_AGE/10;
                }    
            }    
        }     
    }        
    }",Spread the disease between two sheeps,Sheep.java,28.0,2
2,"protected Location findFood()
    {
        Field field = getField();
        List<Location> adjacent = field.adjacentLocations(getLocation());
        Iterator<Location> it = adjacent.iterator();
        while(it.hasNext()) {
            Location where = it.next();
            Object object = field.getObjectAt(where);
            if(object instanceof Plant) {
                Plant plant = (Plant) object;
                if(plant.isAlive() && foodLevel < FOOD_LIMIT && rand.nextDouble() > 0.875) { 
                    foodLevel += plant.getFoodValue();
                    plant.setDead();
                    return where;
                }
            }
        }
        return null;
    }","Look for plants adjacent to the current location.
Only the first live plant is eaten.
@return Where food was found, or null if it wasn't.",Sheep.java,28.0,2
3,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }","Increase the age.
This could result in the sheep's death.",Sheep.java,28.0,2
4,"private void giveBirth(List<Animal> newsheeps)
    {
        // New sheeps are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        
        List<Location> locations = field.adjacentLocations(location);
        for (Location loc : locations){
            Object obj = field.getObjectAt(loc.getRow(), loc.getCol());
            if (obj != null && obj.getClass() == this.getClass())
            {
                if (((Sheep)obj).getGender() != isMale)
                {
                    List<Location> free = field.getFreeAdjacentLocations(getLocation());
                    boolean randomGender = (rand.nextDouble()>0.6) ? true : false;
                    int births = breed(obj);
                    for(int b = 0; b < births && free.size() > 0; b++) {
                        Location l = free.remove(0);
                        Sheep young = new Sheep(field, l, randomGender, false);
                        newsheeps.add(young);
                    }
                    break;
                }
            }
        }
    }","Check whether or not this sheep is to give birth at this step.
New births will be made into free adjacent locations.
@param newsheeps A list to return newly born sheeps.",Sheep.java,28.0,2
5,"private void incrementHunger()
    {
        foodLevel--;
        if(foodLevel <= 0) {
            setDead();
        }
    }",Make this sheep more hungry. This could result in the sheep's death.,Sheep.java,28.0,2
6,"private int breed(Object obj)
    {
        int births = 0;
        if(((Sheep)obj).canBreed() && canBreed() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Sheep.java,28.0,2
7,"private boolean canBreed()
    {
        return age >= BREEDING_AGE;
    }","A sheep can breed if it has reached the breeding age.
@return true if the sheep can breed, false otherwise.",Sheep.java,28.0,2
0,"public void grow()
    {
        if((foodValue + growthRate) > MAX_FOOD_VALUE){
            foodValue = MAX_FOOD_VALUE;
        } else {
            foodValue += growthRate;
        }
    }",Grows food value at a certain rate.,Plant.java,28.0,2
1,"public boolean isAlive() {
        return alive;
    }",Returns whether plant is alive or not.,Plant.java,28.0,2
2,"public int getFoodValue() {
        return MAX_FOOD_VALUE;
    }",Returns the max food value that the plant could offer.,Plant.java,28.0,2
3,"public void setDead()
    {
        if(location != null) {
            alive = false;
            field.clear(location);
            location = null;
            field = null;
        }
    }",Handles the death of a plant.,Plant.java,28.0,2
4,"public void setLocation(Location newLocation)
    {
        if(location != null) {
            field.clear(location);
        }
        location = newLocation;
        field.place(this, newLocation);
    }",Sets a new location.,Plant.java,28.0,2
0,"protected List<Location> getSuitableLocations(Location location)
    {
        List<Location> free = field.getFreeAdjacentLocations(location);
        
        List<Location> suitable = new LinkedList<>();
        for(Location next : free) {
            if (!field.getLand(next.getRow(), next.getCol()))
                suitable.add(next);
        }
        return suitable;
    }","Get a shuffled list of the suitable free adjacent locations.
@param location Location of animal.
@return A list of free adjacent locations.",WaterAnimal.java,28.0,2
0,"public String getName()
    {
        return name;
    }",@return The short description of this type.,Counter.java,28.0,2
1,"public int getCount()
    {
        return count;
    }",@return The current count for this type.,Counter.java,28.0,2
2,"public void increment()
    {
        count++;
    }",Increment the current count by one.,Counter.java,28.0,2
3,"public void reset()
    {
        count = 0;
    }",Reset the current count to zero.,Counter.java,28.0,2
0,"public void setColor(Class aClass, Color color)
    {
        colors.put(aClass, color);
    }","Define a color to be used for a given class.
@param aClass The Class object.
@param color The color to be used for the given class.",SimulatorView.java,28.0,2
1,"public void setInfoText(String text)
    {
        infoLabel.setText(text);
    }",Display a short information label at the top of the window.,SimulatorView.java,28.0,2
2,"private Color getColor(Class aClass)
    {
        Color col = colors.get(aClass);
        if(col == null) {
            // no color defined for this class
            return UNKNOWN_COLOR;
        }
        else {
            return col;
        }
    }",@return The color to be used for a given class.,SimulatorView.java,28.0,2
3,"public void showStatus(int step, Field field)
    {
        if(!isVisible()) {
            setVisible(true);
        }
            
        stepLabel.setText(STEP_PREFIX + step);
        stats.reset();
        
        fieldView.preparePaint();

        for(int row = 0; row < field.getDepth(); row++) {
            for(int col = 0; col < field.getWidth(); col++) {
                Object animal = field.getObjectAt(row, col);
                if(animal != null) {
                    stats.incrementCount(animal.getClass());
                    if (animal.getClass() != Plant.class)
                    {
                        Animal a = (Animal) animal;
                        if (a.isHealthy()) fieldView.drawMark(col, row, getColor(animal.getClass())); // Healthy animals use their normal colour.
                        else fieldView.drawMark(col, row, Color.RED); // Sick animals are shown as RED.
                    }else fieldView.drawMark(col, row, getColor(animal.getClass()));
                }
                else if(field.getLand(row, col)) {
                    fieldView.drawMark(col, row, LAND_COLOR); // Draw land tile
                }
                else if(!field.getLand(row, col)) {
                    fieldView.drawMark(col, row, WATER_COLOR); // Draw water tile.
                }
                else {
                    fieldView.drawMark(col, row, EMPTY_COLOR);
                }
                
                // Draws cloud tiles with a specific transparency already initialized in Simulator. Depeding on how far from center, ther eis a smaller chance to appear.
                Random rand = new Random();
                double chance = rand.nextDouble();
                if (chance <= field.getWeather(row, col, 0)*0.25) fieldView.drawMark(col, row, getColor(Fog.class));
                chance = rand.nextDouble();
                if (chance <= field.getWeather(row, col, 1)*0.25) fieldView.drawMark(col, row, getColor(Rain.class));
                chance = rand.nextDouble();
                if (chance <= field.getWeather(row, col, 2)*0.25) fieldView.drawMark(col, row, getColor(Snow.class));
                    
                fieldView.drawMark(col, row, new Color(0, 0, 0, Time.sunlight()));
            }
        }
        
        stats.countFinished();

        population.setText(POPULATION_PREFIX + stats.getPopulationDetails(field));
        fieldView.repaint();
    }","Show the current status of the field.
@param step Which iteration step it is.
@param field The field whose status is to be displayed.",SimulatorView.java,28.0,2
4,"public boolean isViable(Field field)
    {
        return stats.isViable(field);
    }","Determine whether the simulation should continue to run.
@return true If there is more than one species alive.",SimulatorView.java,28.0,2
0,"public void runLongSimulation()
    {
        simulate(4000);
    }","Run the simulation from its current state for a reasonably long period,
(4000 steps).",Simulator.java,28.0,2
1,"public void simulate(int numSteps)
    {
        for(int step = 1; step <= numSteps && view.isViable(field); step++) {
            simulateOneStep();
            //delay(100);   
            // uncomment this to run more slowly
        }
    }","Run the simulation from its current state for the given number of steps.
Stop before the given number of steps if it ceases to be viable.
@param numSteps The number of steps to run for.",Simulator.java,28.0,2
2,"private void generatePlants() 
    {   
        Random rand = new Random();
        for(int row = 0; row < field.getDepth(); row++) {
            for(int col = 0; col < field.getWidth(); col++) {
                if(field.getObjectAt(row, col) == null && rand.nextDouble() <= PLANT_CREATION_PROBABILITY*0.05+0.005*field.getWeather(row, col, 1)) {
                    Location location = new Location(row, col);
                    Plant plant = new Plant(field, location);
                    plants.add(plant);
                }
            }
        }
    }","Method that generates plants throughout the field. Is affected by rain, making the birth chance slightly higher.",Simulator.java,28.0,2
3,"public void simulateOneStep()
    {
        step++;
        generatePlants();
        Time.setTime(step);
        // Random chance for clouds to form.
        Random rand = new Random();
        
        // Random chance to create a cloud.
        if (CLOUD_CREATION_PROBABILITY >= rand.nextDouble())
        {
            int chance = rand.nextInt(3);
            if (chance == 0)
            clouds.add(new Fog(rand.nextInt(field.getDepth()), rand.nextInt(field.getWidth()), rand.nextInt(8)+3, rand.nextInt(50)+25, field));
            if (chance == 1)
            clouds.add(new Rain(rand.nextInt(field.getDepth()), rand.nextInt(field.getWidth()), rand.nextInt(8)+3, rand.nextInt(50)+25, field));
            if (chance == 2)
            clouds.add(new Snow(rand.nextInt(field.getDepth()), rand.nextInt(field.getWidth()), rand.nextInt(8)+3, rand.nextInt(50)+50, field));
        }
        // Process the clouds.
        for(Iterator<Weather> it = clouds.iterator(); it.hasNext(); ) {
            Weather cloud = it.next();
            cloud.move();
            if (!cloud.exists())
                it.remove();
        }
        // Creates new plants.
        List<Plant> newPlants = new ArrayList<>();
        for(Iterator<Plant> it = plants.iterator(); it.hasNext(); ) {
            Plant plant = it.next();
            plant.grow();
            if(!plant.isAlive()) {
                it.remove();
            }
        }
        // Provide space for newborn animals.
        List<Animal> newAnimals = new ArrayList<>();        
        // Let all animals act.
        for(Iterator<Animal> it = animals.iterator(); it.hasNext(); ) {
            Animal animal = it.next();
            // Toggles awake or sleep status.
            animal.setAsleep();
            if(animal.getAsleep()){
                continue;
            }
            animal.act(newAnimals);
            if(! animal.isAlive()) {
                it.remove();
            }
        }
               
        // Add the newly born wolves and squirrels to the main lists.
        animals.addAll(newAnimals);
        
        // Draw elements.
        view.showStatus(step, field);
    }","Run the simulation from its current state for a single step.
Iterate over the whole field updating the state of each
animal or other.",Simulator.java,28.0,2
4,"public void reset()
    {
        step = 0;
        animals.clear();
        clouds.clear();
        populate();
        
        // Show the starting state in the view.
        view.showStatus(step, field);
    }",Reset the simulation to a starting position.,Simulator.java,28.0,2
