,summary,config,name,group,tag
10,"{'_runtime': 3.4689173698425293, '_step': 20, '_timestamp': 1733918459.5394633, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.875, 'eval/f1_macro': 0.86133069828722, 'eval/f1_micro': 0.875, 'eval/f1_weighted': 0.86133069828722, 'eval/loss': 4.505456673639644, 'eval/precision_macro': 0.9006410256410257, 'eval/precision_micro': 0.875, 'eval/precision_weighted': 0.9006410256410258, 'eval/recall_macro': 0.875, 'eval/recall_micro': 0.875, 'eval/recall_weighted': 0.875, 'split': 10, 'test/accuracy': 0.3968253968253968, 'test/f1_macro': 0.371216544837629, 'test/f1_micro': 0.3968253968253968, 'test/f1_weighted': 0.41344326697439615, 'test/loss': 21.740616329943684, 'test/precision_macro': 0.3865489130434782, 'test/precision_micro': 0.3968253968253968, 'test/precision_weighted': 0.4629485852311939, 'test/recall_macro': 0.4008335414585415, 'test/recall_micro': 0.3968253968253968, 'test/recall_weighted': 0.3968253968253968}","{'n_neighbours': 1, 'trial.number': 8}",clean-bee-606,KNeighbours,"['BoW', 'preprocessed']"
11,"{'_runtime': 3.652732610702514, '_step': 20, '_timestamp': 1733918460.8182075, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.8863636363636364, 'eval/f1_macro': 0.8739343563512362, 'eval/f1_micro': 0.8863636363636364, 'eval/f1_weighted': 0.8739343563512363, 'eval/loss': 0.5748658829774856, 'eval/precision_macro': 0.9022435897435898, 'eval/precision_micro': 0.8863636363636364, 'eval/precision_weighted': 0.9022435897435898, 'eval/recall_macro': 0.8863636363636364, 'eval/recall_micro': 0.8863636363636364, 'eval/recall_weighted': 0.8863636363636364, 'split': 10, 'test/accuracy': 0.4603174603174603, 'test/f1_macro': 0.4298946004828358, 'test/f1_micro': 0.4603174603174603, 'test/f1_weighted': 0.4575040026020418, 'test/loss': 3.8843893733905537, 'test/precision_macro': 0.4266414141414141, 'test/precision_micro': 0.4603174603174603, 'test/precision_weighted': 0.45777617444284113, 'test/recall_macro': 0.43708682939232135, 'test/recall_micro': 0.4603174603174603, 'test/recall_weighted': 0.4603174603174603}","{'smoothing': 0.6573630966479328, 'trial.number': 2}",dark-butterfly-607,Bernolli,"['BoW', 'preprocessed']"
12,"{'_runtime': 3.660658836364746, '_step': 20, '_timestamp': 1733918469.7491095, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.35, 'eval/f1_macro': 0.32007575757575757, 'eval/f1_micro': 0.35, 'eval/f1_weighted': 0.3200757575757576, 'eval/loss': 2.0815516276719537, 'eval/precision_macro': 0.2976190476190476, 'eval/precision_micro': 0.35, 'eval/precision_weighted': 0.2976190476190476, 'eval/recall_macro': 0.35, 'eval/recall_micro': 0.35, 'eval/recall_weighted': 0.35, 'split': 10, 'test/accuracy': 0.2857142857142857, 'test/f1_macro': 0.2732005408778864, 'test/f1_micro': 0.2857142857142857, 'test/f1_weighted': 0.3035589632843637, 'test/loss': 4.655310984227485, 'test/precision_macro': 0.3095238095238095, 'test/precision_micro': 0.2857142857142857, 'test/precision_weighted': 0.4045351473922903, 'test/recall_macro': 0.2982642357642358, 'test/recall_micro': 0.2857142857142857, 'test/recall_weighted': 0.2857142857142857}","{'n_neighbours': 9, 'trial.number': 9}",chocolate-plant-608,KNeighbours,"['BoW', 'preprocessed']"
13,"{'_runtime': 2.769120454788208, '_step': 20, '_timestamp': 1733918470.5809784, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.30952380952380953, 'eval/f1_macro': 0.25272727272727274, 'eval/f1_micro': 0.30952380952380953, 'eval/f1_weighted': 0.2483116883116883, 'eval/loss': 1.3375628115669278, 'eval/precision_macro': 0.24751552795031057, 'eval/precision_micro': 0.30952380952380953, 'eval/precision_weighted': 0.2425317953268264, 'eval/recall_macro': 0.31590909090909086, 'eval/recall_micro': 0.30952380952380953, 'eval/recall_weighted': 0.30952380952380953, 'split': 10, 'test/accuracy': 0.15873015873015872, 'test/f1_macro': 0.10535024820739108, 'test/f1_micro': 0.15873015873015872, 'test/f1_weighted': 0.1584675054062809, 'test/loss': 1.5026549005493524, 'test/precision_macro': 0.10644677661169416, 'test/precision_micro': 0.15873015873015872, 'test/precision_weighted': 0.16586944622926633, 'test/recall_macro': 0.11778846153846154, 'test/recall_micro': 0.15873015873015872, 'test/recall_weighted': 0.15873015873015872}","{'dt_criterion': 'gini', 'dt_max_depth': 19, 'trial.number': 0, 'dt_min_samples_leaf': 70}",firm-bee-609,DecisionTree,"['BoW', 'preprocessed']"
14,"{'_runtime': 3.900405406951904, '_step': 20, '_timestamp': 1733918471.1489215, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.8636363636363636, 'eval/f1_macro': 0.8445471014492754, 'eval/f1_micro': 0.8636363636363636, 'eval/f1_weighted': 0.8445471014492754, 'eval/loss': 0.5374099234060844, 'eval/precision_macro': 0.8871336996336996, 'eval/precision_micro': 0.8636363636363636, 'eval/precision_weighted': 0.8871336996336996, 'eval/recall_macro': 0.8636363636363636, 'eval/recall_micro': 0.8636363636363636, 'eval/recall_weighted': 0.8636363636363636, 'split': 10, 'test/accuracy': 0.4444444444444444, 'test/f1_macro': 0.4015633251188171, 'test/f1_micro': 0.4444444444444444, 'test/f1_weighted': 0.4378815628815629, 'test/loss': 3.362589540850195, 'test/precision_macro': 0.3964122262177182, 'test/precision_micro': 0.4444444444444444, 'test/precision_weighted': 0.4331065759637188, 'test/recall_macro': 0.4093090516145435, 'test/recall_micro': 0.4444444444444444, 'test/recall_weighted': 0.4444444444444444}","{'smoothing': 0.9567549608111576, 'trial.number': 3}",distinctive-violet-610,Bernolli,"['BoW', 'preprocessed']"
15,"{'_runtime': 3.6556801795959473, '_step': 20, '_timestamp': 1733918479.2684703, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.8863636363636364, 'eval/f1_macro': 0.8739343563512362, 'eval/f1_micro': 0.8863636363636364, 'eval/f1_weighted': 0.8739343563512363, 'eval/loss': 0.65830368183578, 'eval/precision_macro': 0.9022435897435898, 'eval/precision_micro': 0.8863636363636364, 'eval/precision_weighted': 0.9022435897435898, 'eval/recall_macro': 0.8863636363636364, 'eval/recall_micro': 0.8863636363636364, 'eval/recall_weighted': 0.8863636363636364, 'split': 10, 'test/accuracy': 0.47619047619047616, 'test/f1_macro': 0.44535130718954247, 'test/f1_micro': 0.47619047619047616, 'test/f1_weighted': 0.472070235501608, 'test/loss': 5.035429335032737, 'test/precision_macro': 0.444762443438914, 'test/precision_micro': 0.47619047619047616, 'test/precision_weighted': 0.4700430941607413, 'test/recall_macro': 0.4479563946097127, 'test/recall_micro': 0.47619047619047616, 'test/recall_weighted': 0.47619047619047616}","{'smoothing': 0.32434981606130353, 'trial.number': 4}",different-monkey-611,Bernolli,"['BoW', 'preprocessed']"
16,"{'_runtime': 3.447662591934204, '_step': 20, '_timestamp': 1733918479.4644785, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.3333333333333333, 'eval/f1_macro': 0.330952380952381, 'eval/f1_micro': 0.3333333333333333, 'eval/f1_weighted': 0.33291761148904003, 'eval/loss': 1.3262343818972528, 'eval/precision_macro': 0.35813492063492064, 'eval/precision_micro': 0.3333333333333333, 'eval/precision_weighted': 0.3626228269085412, 'eval/recall_macro': 0.33409090909090905, 'eval/recall_micro': 0.3333333333333333, 'eval/recall_weighted': 0.3333333333333333, 'split': 10, 'test/accuracy': 0.23809523809523808, 'test/f1_macro': 0.1743186582809224, 'test/f1_micro': 0.23809523809523808, 'test/f1_weighted': 0.236970483511364, 'test/loss': 2.5160899123572324, 'test/precision_macro': 0.17457264957264956, 'test/precision_micro': 0.23809523809523808, 'test/precision_weighted': 0.2376339709673043, 'test/recall_macro': 0.17604638009049775, 'test/recall_micro': 0.23809523809523808, 'test/recall_weighted': 0.23809523809523808}","{'dt_criterion': 'entropy', 'dt_max_depth': 11, 'trial.number': 1, 'dt_min_samples_leaf': 31}",vibrant-dawn-612,DecisionTree,"['BoW', 'preprocessed']"
17,"{'_runtime': 3.6210997104644775, '_step': 20, '_timestamp': 1733918487.6327868, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.3333333333333333, 'eval/f1_macro': 0.2331730769230769, 'eval/f1_micro': 0.3333333333333333, 'eval/f1_weighted': 0.23298229548229543, 'eval/loss': 2.090594343986256, 'eval/precision_macro': 0.36599099099099097, 'eval/precision_micro': 0.3333333333333333, 'eval/precision_weighted': 0.3556413556413556, 'eval/recall_macro': 0.325, 'eval/recall_micro': 0.3333333333333333, 'eval/recall_weighted': 0.3333333333333333, 'split': 10, 'test/accuracy': 0.12698412698412698, 'test/f1_macro': 0.0936247723132969, 'test/f1_micro': 0.12698412698412698, 'test/f1_weighted': 0.0736577326741261, 'test/loss': 3.083841219088052, 'test/precision_macro': 0.13246855345911948, 'test/precision_micro': 0.12698412698412698, 'test/precision_weighted': 0.14929619646600778, 'test/recall_macro': 0.21794871794871795, 'test/recall_micro': 0.12698412698412698, 'test/recall_weighted': 0.12698412698412698}","{'dt_criterion': 'entropy', 'dt_max_depth': 3, 'trial.number': 2, 'dt_min_samples_leaf': 10}",likely-tree-613,DecisionTree,"['BoW', 'preprocessed']"
18,"{'_runtime': 2.692244529724121, '_step': 20, '_timestamp': 1733918489.6379814, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.7368421052631579, 'eval/f1_macro': 0.7062324929971989, 'eval/f1_micro': 0.7368421052631579, 'eval/f1_weighted': 0.713548577325667, 'eval/loss': 5.891751034759535, 'eval/precision_macro': 0.7206168831168831, 'eval/precision_micro': 0.7368421052631579, 'eval/precision_weighted': 0.7230177717019822, 'eval/recall_macro': 0.725, 'eval/recall_micro': 0.7368421052631579, 'eval/recall_weighted': 0.7368421052631579, 'split': 10, 'test/accuracy': 0.5714285714285714, 'test/f1_macro': 0.47973484848484854, 'test/f1_micro': 0.5714285714285714, 'test/f1_weighted': 0.5868807118807119, 'test/loss': 13.400845490825605, 'test/precision_macro': 0.47261904761904766, 'test/precision_micro': 0.5714285714285714, 'test/precision_weighted': 0.6143613000755858, 'test/recall_macro': 0.4988095238095238, 'test/recall_micro': 0.5714285714285714, 'test/recall_weighted': 0.5714285714285714}","{'n_neighbours': 2, 'trial.number': 0}",prime-star-614,KNeighbours,"['TfIdf', 'preprocessed']"
19,"{'_runtime': 5.49642276763916, '_step': 20, '_timestamp': 1733918497.5021138, '_wandb': {'runtime': 5}, 'eval/accuracy': 0.9047619047619048, 'eval/f1_macro': 0.8938923395445134, 'eval/f1_micro': 0.9047619047619048, 'eval/f1_weighted': 0.8959257616089915, 'eval/loss': 0.3844272673467628, 'eval/precision_macro': 0.9179778554778556, 'eval/precision_micro': 0.9047619047619048, 'eval/precision_weighted': 0.9162365412365412, 'eval/recall_macro': 0.9, 'eval/recall_micro': 0.9047619047619048, 'eval/recall_weighted': 0.9047619047619048, 'split': 10, 'test/accuracy': 0.47619047619047616, 'test/f1_macro': 0.4317741935483871, 'test/f1_micro': 0.47619047619047616, 'test/f1_weighted': 0.4841167434715822, 'test/loss': 2.2171297503014475, 'test/precision_macro': 0.4333021837497541, 'test/precision_micro': 0.47619047619047616, 'test/precision_weighted': 0.4974471393908734, 'test/recall_macro': 0.434457671957672, 'test/recall_micro': 0.47619047619047616, 'test/recall_weighted': 0.47619047619047616}",{'trial.number': 0},sage-cosmos-615,LogisticRegression,"['BoW', 'preprocessed']"
20,"{'_runtime': 3.5733723640441895, '_step': 20, '_timestamp': 1733918497.6974964, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.5, 'eval/f1_macro': 0.5213868760064413, 'eval/f1_micro': 0.5, 'eval/f1_weighted': 0.5242791963806457, 'eval/loss': 2.617905231709823, 'eval/precision_macro': 0.59156162464986, 'eval/precision_micro': 0.5, 'eval/precision_weighted': 0.5942877150860345, 'eval/recall_macro': 0.4977272727272727, 'eval/recall_micro': 0.5, 'eval/recall_weighted': 0.5, 'split': 10, 'test/accuracy': 0.4126984126984127, 'test/f1_macro': 0.3399768875192605, 'test/f1_micro': 0.4126984126984127, 'test/f1_weighted': 0.3893990755007704, 'test/loss': 9.91163114656684, 'test/precision_macro': 0.3564664502164502, 'test/precision_micro': 0.4126984126984127, 'test/precision_weighted': 0.4076135504706933, 'test/recall_macro': 0.36811840120663647, 'test/recall_micro': 0.4126984126984127, 'test/recall_weighted': 0.4126984126984127}","{'dt_criterion': 'entropy', 'dt_max_depth': 14, 'trial.number': 3, 'dt_min_samples_leaf': 5}",balmy-resonance-616,DecisionTree,"['BoW', 'preprocessed']"
21,"{'_runtime': 2.809443473815918, '_step': 20, '_timestamp': 1733918498.7951603, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.8666666666666667, 'eval/f1_macro': 0.8469188963210703, 'eval/f1_micro': 0.8666666666666667, 'eval/f1_weighted': 0.8494318097361574, 'eval/loss': 0.5835251835602264, 'eval/precision_macro': 0.8932692307692307, 'eval/precision_micro': 0.8666666666666667, 'eval/precision_weighted': 0.8939316239316238, 'eval/recall_macro': 0.8636363636363636, 'eval/recall_micro': 0.8666666666666667, 'eval/recall_weighted': 0.8666666666666667, 'split': 10, 'test/accuracy': 0.3333333333333333, 'test/f1_macro': 0.3190767076061194, 'test/f1_micro': 0.3333333333333333, 'test/f1_weighted': 0.33468457468457463, 'test/loss': 7.940737711760168, 'test/precision_macro': 0.31946807062906135, 'test/precision_micro': 0.3333333333333333, 'test/precision_weighted': 0.3363537047747574, 'test/recall_macro': 0.3190126050420168, 'test/recall_micro': 0.3333333333333333, 'test/recall_weighted': 0.3333333333333333}","{'smoothing': 0.1003920814030056, 'trial.number': 0}",pleasant-surf-617,Bernolli,"['TfIdf', 'preprocessed']"
22,"{'_runtime': 3.7983365058898926, '_step': 20, '_timestamp': 1733918499.9132535, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.8421052631578947, 'eval/f1_macro': 0.8046536796536796, 'eval/f1_micro': 0.8421052631578947, 'eval/f1_weighted': 0.8112895876053771, 'eval/loss': 5.6911031667027085, 'eval/precision_macro': 0.8731060606060607, 'eval/precision_micro': 0.8421052631578947, 'eval/precision_weighted': 0.8730063795853269, 'eval/recall_macro': 0.8333333333333333, 'eval/recall_micro': 0.8421052631578947, 'eval/recall_weighted': 0.8421052631578947, 'split': 10, 'test/accuracy': 0.5873015873015873, 'test/f1_macro': 0.5011294261294261, 'test/f1_micro': 0.5873015873015873, 'test/f1_weighted': 0.6048607477178906, 'test/loss': 14.87515854154041, 'test/precision_macro': 0.5087962962962963, 'test/precision_micro': 0.5873015873015873, 'test/precision_weighted': 0.6587301587301588, 'test/recall_macro': 0.5311507936507935, 'test/recall_micro': 0.5873015873015873, 'test/recall_weighted': 0.5873015873015873}","{'n_neighbours': 1, 'trial.number': 1}",mild-microwave-618,KNeighbours,"['TfIdf', 'preprocessed']"
23,"{'_runtime': 3.4720773696899414, '_step': 20, '_timestamp': 1733918506.9364264, '_wandb': {'runtime': 2}, 'eval/accuracy': 0.8666666666666667, 'eval/f1_macro': 0.8469188963210703, 'eval/f1_micro': 0.8666666666666667, 'eval/f1_weighted': 0.8494318097361574, 'eval/loss': 0.6536402931591906, 'eval/precision_macro': 0.8932692307692307, 'eval/precision_micro': 0.8666666666666667, 'eval/precision_weighted': 0.8939316239316238, 'eval/recall_macro': 0.8636363636363636, 'eval/recall_micro': 0.8666666666666667, 'eval/recall_weighted': 0.8666666666666667, 'split': 10, 'test/accuracy': 0.31746031746031744, 'test/f1_macro': 0.2640873015873016, 'test/f1_micro': 0.31746031746031744, 'test/f1_weighted': 0.2968002015621063, 'test/loss': 11.684375850763429, 'test/precision_macro': 0.25488304093567254, 'test/precision_micro': 0.31746031746031744, 'test/precision_weighted': 0.28248398774714567, 'test/recall_macro': 0.27913165266106443, 'test/recall_micro': 0.31746031746031744, 'test/recall_weighted': 0.31746031746031744}","{'smoothing': 0.005616810444092901, 'trial.number': 1}",major-smoke-619,Bernolli,"['TfIdf', 'preprocessed']"
