func_code_string,label,query,text
"public static <T> T pickRandom (List<T> values, T skip, Random r)
    {
        int size = values.size();
        if (size < 2) {
            throw new IllegalArgumentException(
                ""Must have at least two elements [size="" + size + ""]"");
        }

        int pick = r.nextInt(size - 1);
        for (int ii = 0; ii < size; ii++) {
            T val = values.get(ii);
            if ((val != skip) && (pick-- == 0)) {
                return val;
            }
        }
        return null;
    }",2,how to randomly pick a number,"how to randomly pick a number<CODESPLIT>public static <T> T pickRandom (List<T> values, T skip, Random r)     {         int size = values.size();         if (size < 2) {             throw new IllegalArgumentException(                 ""Must have at least two elements [size="" + size + ""]"");         }          int pick = r.nextInt(size - 1);         for (int ii = 0; ii < size; ii++) {             T val = values.get(ii);             if ((val != skip) && (pick-- == 0)) {                 return val;             }         }         return null;     }"
"public static String reverse(String string) {
		if(string != null) {
			return new StringBuilder(string).reverse().toString();
		}
		return null;
	}",3,how to reverse a string,how to reverse a string<CODESPLIT>public static String reverse(String string) { 		if(string != null) { 			return new StringBuilder(string).reverse().toString(); 		} 		return null; 	}
"private BufferedImage to16Bit1ComponentGrayScale(int[][] decoded, int precision, int width, int height) {
        BufferedImage image;
        if (precision == 16) {
            image = new BufferedImage(width, height, BufferedImage.TYPE_USHORT_GRAY);
        }
        else {
            ColorModel colorModel = new ComponentColorModel(ColorSpace.getInstance(ColorSpace.CS_GRAY), new int[] {precision}, false, false, Transparency.OPAQUE, DataBuffer.TYPE_USHORT);
            image = new BufferedImage(colorModel, colorModel.createCompatibleWritableRaster(width, height), colorModel.isAlphaPremultiplied(), null);
        }

        short[] imageBuffer = ((DataBufferUShort) image.getRaster().getDataBuffer()).getData();

        for (int i = 0; i < imageBuffer.length; i++) {
            imageBuffer[i] = (short) decoded[0][i];
        }

        return image;
    }",0,converting uint8 array to image,"converting uint8 array to image<CODESPLIT>private BufferedImage to16Bit1ComponentGrayScale(int[][] decoded, int precision, int width, int height) {         BufferedImage image;         if (precision == 16) {             image = new BufferedImage(width, height, BufferedImage.TYPE_USHORT_GRAY);         }         else {             ColorModel colorModel = new ComponentColorModel(ColorSpace.getInstance(ColorSpace.CS_GRAY), new int[] {precision}, false, false, Transparency.OPAQUE, DataBuffer.TYPE_USHORT);             image = new BufferedImage(colorModel, colorModel.createCompatibleWritableRaster(width, height), colorModel.isAlphaPremultiplied(), null);         }          short[] imageBuffer = ((DataBufferUShort) image.getRaster().getDataBuffer()).getData();          for (int i = 0; i < imageBuffer.length; i++) {             imageBuffer[i] = (short) decoded[0][i];         }          return image;     }"
"public static double cdf(double x, double mu, double sigma) {
    if(x <= 0.) {
      return 0.;
    }
    return .5 * (1 + NormalDistribution.erf((FastMath.log(x) - mu) / (MathUtil.SQRT2 * sigma)));
  }",1,normal distribution,"normal distribution<CODESPLIT>public static double cdf(double x, double mu, double sigma) {     if(x <= 0.) {       return 0.;     }     return .5 * (1 + NormalDistribution.erf((FastMath.log(x) - mu) / (MathUtil.SQRT2 * sigma)));   }"
"public byte[] getHardwareAddress()
  {
    if (CurrentTime.isTest() || System.getProperty(""test.mac"") != null) {
      return new byte[] { 10, 0, 0, 0, 0, 10 };
    }
    
    for (NetworkInterfaceBase nic : getNetworkInterfaces()) {
      if (! nic.isLoopback()) {
        return nic.getHardwareAddress();
      }
    }
    
    try {
      InetAddress localHost = InetAddress.getLocalHost();
      
      return localHost.getAddress();
    } catch (Exception e) {
      log.log(Level.FINER, e.toString(), e);
    }
    
    return new byte[0];
  }",2,get current ip address,"get current ip address<CODESPLIT>public byte[] getHardwareAddress()   {     if (CurrentTime.isTest() || System.getProperty(""test.mac"") != null) {       return new byte[] { 10, 0, 0, 0, 0, 10 };     }          for (NetworkInterfaceBase nic : getNetworkInterfaces()) {       if (! nic.isLoopback()) {         return nic.getHardwareAddress();       }     }          try {       InetAddress localHost = InetAddress.getLocalHost();              return localHost.getAddress();     } catch (Exception e) {       log.log(Level.FINER, e.toString(), e);     }          return new byte[0];   }"
"@NonNull
    public static String getNowDateTime(@NonNull String format) {
        SimpleDateFormat formatter = new SimpleDateFormat(format, Locale.ENGLISH);
        Date curDate = new Date(System.currentTimeMillis());
        return formatter.format(curDate);
    }",3,how to get current date,"how to get current date<CODESPLIT>@NonNull     public static String getNowDateTime(@NonNull String format) {         SimpleDateFormat formatter = new SimpleDateFormat(format, Locale.ENGLISH);         Date curDate = new Date(System.currentTimeMillis());         return formatter.format(curDate);     }"
"@Override
  public Clustering<MeanModel> run(Database database, Relation<V> relation) {
    // Database objects to process
    final DBIDs ids = relation.getDBIDs();
    // Choose initial means
    double[][] means = initializer.chooseInitialMeans(database, relation, k, getDistanceFunction());
    // Setup cluster assignment store
    List<ModifiableDBIDs> clusters = new ArrayList<>();
    for(int i = 0; i < k; i++) {
      clusters.add(DBIDUtil.newHashSet(relation.size() / k + 2));
    }

    // Meta data storage
    final WritableDataStore<Meta> metas = initializeMeta(relation, means);
    // Perform the initial assignment
    ArrayModifiableDBIDs tids = initialAssignment(clusters, metas, ids);
    // Recompute the means after the initial assignment
    means = means(clusters, means, relation);
    // Refine the result via k-means like iterations
    means = refineResult(relation, means, clusters, metas, tids);

    // Wrap result
    Clustering<MeanModel> result = new Clustering<>(""k-Means Samesize Clustering"", ""kmeans-samesize-clustering"");
    for(int i = 0; i < clusters.size(); i++) {
      result.addToplevelCluster(new Cluster<>(clusters.get(i), new MeanModel(means[i])));
    }
    return result;
  }",0,k means clustering,"k means clustering<CODESPLIT>@Override   public Clustering<MeanModel> run(Database database, Relation<V> relation) {     // Database objects to process     final DBIDs ids = relation.getDBIDs();     // Choose initial means     double[][] means = initializer.chooseInitialMeans(database, relation, k, getDistanceFunction());     // Setup cluster assignment store     List<ModifiableDBIDs> clusters = new ArrayList<>();     for(int i = 0; i < k; i++) {       clusters.add(DBIDUtil.newHashSet(relation.size() / k + 2));     }      // Meta data storage     final WritableDataStore<Meta> metas = initializeMeta(relation, means);     // Perform the initial assignment     ArrayModifiableDBIDs tids = initialAssignment(clusters, metas, ids);     // Recompute the means after the initial assignment     means = means(clusters, means, relation);     // Refine the result via k-means like iterations     means = refineResult(relation, means, clusters, metas, tids);      // Wrap result     Clustering<MeanModel> result = new Clustering<>(""k-Means Samesize Clustering"", ""kmeans-samesize-clustering"");     for(int i = 0; i < clusters.size(); i++) {       result.addToplevelCluster(new Cluster<>(clusters.get(i), new MeanModel(means[i])));     }     return result;   }"
"public static double quantile(double x, double mu, double sigma) {
    return FastMath.exp(mu + sigma * NormalDistribution.standardNormalQuantile(x));
  }",1,normal distribution,"normal distribution<CODESPLIT>public static double quantile(double x, double mu, double sigma) {     return FastMath.exp(mu + sigma * NormalDistribution.standardNormalQuantile(x));   }"
"public static void copyToClipboard(String text) {
		final StringSelection stringSelection = new StringSelection(text);
		final Clipboard clipboard = Toolkit.getDefaultToolkit().getSystemClipboard();
		clipboard.setContents(stringSelection, stringSelection);
	}",2,copy to clipboard,"copy to clipboard<CODESPLIT>public static void copyToClipboard(String text) { 		final StringSelection stringSelection = new StringSelection(text); 		final Clipboard clipboard = Toolkit.getDefaultToolkit().getSystemClipboard(); 		clipboard.setContents(stringSelection, stringSelection); 	}"
"private ByteBuffer recv(int attempt)
          throws IOException, SocketException, SocketTimeoutException {
    int timeout = UDP_BASE_TIMEOUT_SECONDS * (int) Math.pow(2, attempt);
    logger.trace(""Setting receive timeout to {}s for attempt {}..."",
            timeout, attempt);
    this.socket.setSoTimeout(timeout * 1000);

    try {
      DatagramPacket p = new DatagramPacket(
              new byte[UDP_PACKET_LENGTH],
              UDP_PACKET_LENGTH);
      this.socket.receive(p);
      return ByteBuffer.wrap(p.getData(), 0, p.getLength());
    } catch (SocketTimeoutException ste) {
      throw ste;
    }
  }",3,socket recv timeout,"socket recv timeout<CODESPLIT>private ByteBuffer recv(int attempt)           throws IOException, SocketException, SocketTimeoutException {     int timeout = UDP_BASE_TIMEOUT_SECONDS * (int) Math.pow(2, attempt);     logger.trace(""Setting receive timeout to {}s for attempt {}..."",             timeout, attempt);     this.socket.setSoTimeout(timeout * 1000);      try {       DatagramPacket p = new DatagramPacket(               new byte[UDP_PACKET_LENGTH],               UDP_PACKET_LENGTH);       this.socket.receive(p);       return ByteBuffer.wrap(p.getData(), 0, p.getLength());     } catch (SocketTimeoutException ste) {       throw ste;     }   }"
"public double evaluateClustering(Database db, Relation<? extends NumberVector> rel, Clustering<?> c) {
    List<? extends Cluster<?>> clusters = c.getAllClusters();
    NumberVector[] centroids = new NumberVector[clusters.size()];
    int ignorednoise = centroids(rel, clusters, centroids, noiseOption);

    MeanVariance mssil = new MeanVariance();

    Iterator<? extends Cluster<?>> ci = clusters.iterator();
    for(int i = 0; ci.hasNext(); i++) {
      Cluster<?> cluster = ci.next();
      if(cluster.size() <= 1) {
        // As suggested in Rousseeuw, we use 0 for singletons.
        mssil.put(0., cluster.size());
        continue;
      }
      if(cluster.isNoise()) {
        switch(noiseOption){
        case IGNORE_NOISE:
          continue; // Ignore elements
        case TREAT_NOISE_AS_SINGLETONS:
          // As suggested in Rousseeuw, we use 0 for singletons.
          mssil.put(0., cluster.size());
          continue;
        case MERGE_NOISE:
          break; // Treat as cluster below
        }
      }

      // Cluster center:
      final NumberVector center = centroids[i];
      assert (center != null);
      for(DBIDIter it = cluster.getIDs().iter(); it.valid(); it.advance()) {
        NumberVector obj = rel.get(it);
        // a: Distance to own centroid
        double a = distance.distance(center, obj);

        // b: Distance to other clusters centroids:
        double min = Double.POSITIVE_INFINITY;
        Iterator<? extends Cluster<?>> cj = clusters.iterator();
        for(int j = 0; cj.hasNext(); j++) {
          Cluster<?> ocluster = cj.next();
          if(i == j) {
            continue;
          }
          NumberVector other = centroids[j];
          if(other == null) { // Noise!
            switch(noiseOption){
            case IGNORE_NOISE:
              continue;
            case TREAT_NOISE_AS_SINGLETONS:
              // Treat each object like a centroid!
              for(DBIDIter it2 = ocluster.getIDs().iter(); it2.valid(); it2.advance()) {
                double dist = distance.distance(rel.get(it2), obj);
                min = dist < min ? dist : min;
              }
              continue;
            case MERGE_NOISE:
              break; // Treat as cluster below, but should not be reachable.
            }
          }
          // Clusters: use centroid.
          double dist = distance.distance(other, obj);
          min = dist < min ? dist : min;
        }

        // One 'real' cluster only?
        min = min < Double.POSITIVE_INFINITY ? min : a;
        mssil.put((min - a) / (min > a ? min : a));
      }
    }

    double penalty = 1.;
    // Only if {@link NoiseHandling#IGNORE_NOISE}:
    if(penalize && ignorednoise > 0) {
      penalty = (rel.size() - ignorednoise) / (double) rel.size();
    }
    final double meanssil = penalty * mssil.getMean();
    final double stdssil = penalty * mssil.getSampleStddev();
    if(LOG.isStatistics()) {
      LOG.statistics(new StringStatistic(key + "".simplified-silhouette.noise-handling"", noiseOption.toString()));
      if(ignorednoise > 0) {
        LOG.statistics(new LongStatistic(key + "".simplified-silhouette.ignored"", ignorednoise));
      }
      LOG.statistics(new DoubleStatistic(key + "".simplified-silhouette.mean"", meanssil));
      LOG.statistics(new DoubleStatistic(key + "".simplified-silhouette.stddev"", stdssil));
    }

    EvaluationResult ev = EvaluationResult.findOrCreate(db.getHierarchy(), c, ""Internal Clustering Evaluation"", ""internal evaluation"");
    MeasurementGroup g = ev.findOrCreateGroup(""Distance-based Evaluation"");
    g.addMeasure(""Simp. Silhouette +-"" + FormatUtil.NF2.format(stdssil), meanssil, -1., 1., 0., false);
    db.getHierarchy().resultChanged(ev);
    return meanssil;
  }",0,k means clustering,"k means clustering<CODESPLIT>public double evaluateClustering(Database db, Relation<? extends NumberVector> rel, Clustering<?> c) {     List<? extends Cluster<?>> clusters = c.getAllClusters();     NumberVector[] centroids = new NumberVector[clusters.size()];     int ignorednoise = centroids(rel, clusters, centroids, noiseOption);      MeanVariance mssil = new MeanVariance();      Iterator<? extends Cluster<?>> ci = clusters.iterator();     for(int i = 0; ci.hasNext(); i++) {       Cluster<?> cluster = ci.next();       if(cluster.size() <= 1) {         // As suggested in Rousseeuw, we use 0 for singletons.         mssil.put(0., cluster.size());         continue;       }       if(cluster.isNoise()) {         switch(noiseOption){         case IGNORE_NOISE:           continue; // Ignore elements         case TREAT_NOISE_AS_SINGLETONS:           // As suggested in Rousseeuw, we use 0 for singletons.           mssil.put(0., cluster.size());           continue;         case MERGE_NOISE:           break; // Treat as cluster below         }       }        // Cluster center:       final NumberVector center = centroids[i];       assert (center != null);       for(DBIDIter it = cluster.getIDs().iter(); it.valid(); it.advance()) {         NumberVector obj = rel.get(it);         // a: Distance to own centroid         double a = distance.distance(center, obj);          // b: Distance to other clusters centroids:         double min = Double.POSITIVE_INFINITY;         Iterator<? extends Cluster<?>> cj = clusters.iterator();         for(int j = 0; cj.hasNext(); j++) {           Cluster<?> ocluster = cj.next();           if(i == j) {             continue;           }           NumberVector other = centroids[j];           if(other == null) { // Noise!             switch(noiseOption){             case IGNORE_NOISE:               continue;             case TREAT_NOISE_AS_SINGLETONS:               // Treat each object like a centroid!               for(DBIDIter it2 = ocluster.getIDs().iter(); it2.valid(); it2.advance()) {                 double dist = distance.distance(rel.get(it2), obj);                 min = dist < min ? dist : min;               }               continue;             case MERGE_NOISE:               break; // Treat as cluster below, but should not be reachable.             }           }           // Clusters: use centroid.           double dist = distance.distance(other, obj);           min = dist < min ? dist : min;         }          // One 'real' cluster only?         min = min < Double.POSITIVE_INFINITY ? min : a;         mssil.put((min - a) / (min > a ? min : a));       }     }      double penalty = 1.;     // Only if {@link NoiseHandling#IGNORE_NOISE}:     if(penalize && ignorednoise > 0) {       penalty = (rel.size() - ignorednoise) / (double) rel.size();     }     final double meanssil = penalty * mssil.getMean();     final double stdssil = penalty * mssil.getSampleStddev();     if(LOG.isStatistics()) {       LOG.statistics(new StringStatistic(key + "".simplified-silhouette.noise-handling"", noiseOption.toString()));       if(ignorednoise > 0) {         LOG.statistics(new LongStatistic(key + "".simplified-silhouette.ignored"", ignorednoise));       }       LOG.statistics(new DoubleStatistic(key + "".simplified-silhouette.mean"", meanssil));       LOG.statistics(new DoubleStatistic(key + "".simplified-silhouette.stddev"", stdssil));     }      EvaluationResult ev = EvaluationResult.findOrCreate(db.getHierarchy(), c, ""Internal Clustering Evaluation"", ""internal evaluation"");     MeasurementGroup g = ev.findOrCreateGroup(""Distance-based Evaluation"");     g.addMeasure(""Simp. Silhouette +-"" + FormatUtil.NF2.format(stdssil), meanssil, -1., 1., 0., false);     db.getHierarchy().resultChanged(ev);     return meanssil;   }"
"public static Cookie createCookie(String cookieName, @Sensitive String cookieValue, HttpServletRequest req) {
        return createCookie(cookieName, cookieValue, -1, req);
    }",1,create cookie,"create cookie<CODESPLIT>public static Cookie createCookie(String cookieName, @Sensitive String cookieValue, HttpServletRequest req) {         return createCookie(cookieName, cookieValue, -1, req);     }"
"public S animate(Timer timer)
	{
		long elapsed = timer.elapsedTime() - Timer.tickToTime(delay);
		started = elapsed > transform.getDelay();
		finished = elapsed > transform.totalDuration() && transform.getLoops() != -1;

		if (!started && !renderBefore)
			return null;
		if (finished && !renderAfter)
			return null;

		transform.transform(transformable, elapsed);
		return transformable;
	}",2,finding time elapsed using a timer,"finding time elapsed using a timer<CODESPLIT>public S animate(Timer timer) 	{ 		long elapsed = timer.elapsedTime() - Timer.tickToTime(delay); 		started = elapsed > transform.getDelay(); 		finished = elapsed > transform.totalDuration() && transform.getLoops() != -1;  		if (!started && !renderBefore) 			return null; 		if (finished && !renderAfter) 			return null;  		transform.transform(transformable, elapsed); 		return transformable; 	}"
"public static String reverse(final String str) {
        if (str == null) {
            return null;
        }
        return new StringBuilder(str).reverse().toString();
    }",3,how to reverse a string,how to reverse a string<CODESPLIT>public static String reverse(final String str) {         if (str == null) {             return null;         }         return new StringBuilder(str).reverse().toString();     }
"private void mapMouseToPlane(Simple1DOFCamera camera, Point point2d, double[] vec) {
    // Far plane
    camera.unproject(point2d.x, point2d.y, -100., far);
    // Near plane
    camera.unproject(point2d.x, point2d.y, 1., near);
    // Delta vector: far -= near.
    VMath.minusEquals(far, near);
    // Intersection with z=0 plane:
    // far.z - a * near.z = 0 -> a = far.z / near.z
    if (near[2] < 0 || near[2] > 0) {
      double a = far[2] / near[2];
      vec[0] = far[0] - a * near[0];
      vec[1] = far[1] - a * near[1];
      vec[2] = 0;
    }
  }",0,heatmap from 3d coordinates,"heatmap from 3d coordinates<CODESPLIT>private void mapMouseToPlane(Simple1DOFCamera camera, Point point2d, double[] vec) {     // Far plane     camera.unproject(point2d.x, point2d.y, -100., far);     // Near plane     camera.unproject(point2d.x, point2d.y, 1., near);     // Delta vector: far -= near.     VMath.minusEquals(far, near);     // Intersection with z=0 plane:     // far.z - a * near.z = 0 -> a = far.z / near.z     if (near[2] < 0 || near[2] > 0) {       double a = far[2] / near[2];       vec[0] = far[0] - a * near[0];       vec[1] = far[1] - a * near[1];       vec[2] = 0;     }   }"
